Variable Name,Variable Description Old,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints,Variable Description New,Full Name,Year,Demo File Name
URXUMO,"Molybdenum, urine (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Molybdenum, urine (ug/L)","URXUMO: Molybdenum, urine (ug/L)",2005-2006,DEMO_D
URXUPB,"Lead, urine (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Lead, urine (ug/L)","URXUPB: Lead, urine (ug/L)",2005-2006,DEMO_D
URXUPB,"Lead, urine (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Lead, urine (ug/L)","URXUPB: Lead, urine (ug/L)",2005-2006,DEMO_D
URXUPT,"Platinum, urine (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Platinum, urine (ug/L)","URXUPT: Platinum, urine (ug/L)",2005-2006,DEMO_D
URXUSB,"Antimony, urine (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Antimony, urine (ug/L)","URXUSB: Antimony, urine (ug/L)",2005-2006,DEMO_D
URXUTL,"Thallium, urine (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Thallium, urine (ug/L)","URXUTL: Thallium, urine (ug/L)",2005-2006,DEMO_D
URXUTU,"Tungsten, urine (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Tungsten, urine (ug/L)","URXUTU: Tungsten, urine (ug/L)",2005-2006,DEMO_D
URXUUR,"Uranium, urinary (ug/L)",UHM_D,Metals - Urine,2005,2006,Laboratory,None,"Uranium, urine (ug/L)","URXUUR: Uranium, urine (ug/L)",2005-2006,DEMO_D
URXPREG,Pregnancy test result,UCPREG_D,Pregnancy Test - Urine,2005,2006,Laboratory,None,Urine Pregnancy Result,URXPREG: Urine Pregnancy Result,2005-2006,DEMO_D
LBXALC,Alpha-carotene (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,alpha-carotene (ug/dL),LBXALC: alpha-carotene (ug/dL),2005-2006,DEMO_D
LBXBEC,trans-Beta carotene (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,trans-beta-carotene (ug/dL),LBXBEC: trans-beta-carotene (ug/dL),2005-2006,DEMO_D
LBXCBC,cis-Beta carotene (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,cis-beta-carotene (ug/dL),LBXCBC: cis-beta-carotene (ug/dL),2005-2006,DEMO_D
LBXCRY,b-Cryptoxanthin (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,beta-cryptoxanthin (ug/dL),LBXCRY: beta-cryptoxanthin (ug/dL),2005-2006,DEMO_D
LBXGTC,g-Tocopherol (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,gamma-tocopherol (ug/dL),LBXGTC: gamma-tocopherol (ug/dL),2005-2006,DEMO_D
LBXLUZ,Lutein and zeaxanthin (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,Lutein and zeaxanthin (ug/dL),LBXLUZ: Lutein and zeaxanthin (ug/dL),2005-2006,DEMO_D
LBXLYC,trans-Lycopene (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,trans-lycopene (ug/dL),LBXLYC: trans-lycopene (ug/dL),2005-2006,DEMO_D
LBXRPL,Retinyl Palmitate (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,Retinyl palmitate (ug/dL),LBXRPL: Retinyl palmitate (ug/dL),2005-2006,DEMO_D
LBXRST,Retinyl Stearate (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,Retinyl stearate (ug/dL),LBXRST: Retinyl stearate (ug/dL),2005-2006,DEMO_D
LBXVIA,Vitamin A (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,Retinol (ug/dL),LBXVIA: Retinol (ug/dL),2005-2006,DEMO_D
LBXVIE,Vitamin E (ug/dL),VITAEC_D,"Vitamin A, Vitamin E & Carotenoids",2005,2006,Laboratory,None,alpha-tocopherol (ug/dL),LBXVIE: alpha-tocopherol (ug/dL),2005-2006,DEMO_D
LBXB12,Vitamin B12 ( pg/mL),B12_D,Vitamin B12,2005,2006,Laboratory,None,Vitamin B12( pg/mL),LBXB12: Vitamin B12( pg/mL),2005-2006,DEMO_D
LBXVIC,Vitamin C (mg/dL),VIC_D,Vitamin C,2005,2006,Laboratory,None,Vitamin C (mg/dL),LBXVIC: Vitamin C (mg/dL),2005-2006,DEMO_D
LBXHBC,Hepatitis B core antibody,L02_C,Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody,2003,2004,Laboratory,None,Hepatitis B core antibody,LBXHBC: Hepatitis B core antibody,2003-2004,DEMO_C
LBXHBS,Hepatitis B surface antibody (anti-HBs),L02HBS_C,Hepatitis B Surface Antibody,2003,2004,Laboratory,None,Hepatitis B Surface Antibody,LBXHBS: Hepatitis B Surface Antibody,2003-2004,DEMO_C
LBXHA,Hepatitis A Antibody (Anti-HAV),L02HPA_C,Hepatitis A Antibody,2003,2004,Laboratory,None,Hepatitis A antibody,LBXHA: Hepatitis A antibody,2003-2004,DEMO_C
LBXCD4,CD4 counts (cells/mm3),L03_C,"HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells",2003,2004,Laboratory,None,CD4 counts (cells/mm3),LBXCD4: CD4 counts (cells/mm3),2003-2004,DEMO_C
LBXCD8,CD8 counts (cells/mm3),L03_C,"HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells",2003,2004,Laboratory,None,CD8 counts (cells/mm3),LBXCD8: CD8 counts (cells/mm3),2003-2004,DEMO_C
URXUCR,"Creatinine, urine (mg/dL)",L04PER_C,Perchlorate - Urine,2003,2004,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2003-2004,DEMO_C
URXUP8,Urinary Perchlorate,L04PER_C,Perchlorate - Urine,2003,2004,Laboratory,None,"Perchlorate, urine (ng/mL)","URXUP8: Perchlorate, urine (ng/mL)",2003-2004,DEMO_C
LBX2DF,"Blood 2,5 Dimethylfuran result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 2,5-Dimethylfuran (ng/mL)","LBX2DF: Blood 2,5-Dimethylfuran (ng/mL)",2003-2004,DEMO_C
LBXV1A,"Blood 1,1-Dichloroethane Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,1-Dichloroethane (ng/mL)","LBXV1A: Blood 1,1-Dichloroethane (ng/mL)",2003-2004,DEMO_C
LBXV1D,"Blood 1,2-Dichlorobenzene Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,2-Dichlorobenzene (ng/mL)","LBXV1D: Blood 1,2-Dichlorobenzene (ng/mL)",2003-2004,DEMO_C
LBXV1E,"Blood 1,1-Dichloroethene Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,1-Dichloroethene (ng/mL)","LBXV1E: Blood 1,1-Dichloroethene (ng/mL)",2003-2004,DEMO_C
LBXV2A,"Blood 1,2-Dichloroethane Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,2-Dichloroethane (ng/mL)","LBXV2A: Blood 1,2-Dichloroethane (ng/mL)",2003-2004,DEMO_C
LBXV2C,"Blood cis-1,2-Dichloroethene Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood cis-1,2-Dichloroethene (ng/mL)","LBXV2C: Blood cis-1,2-Dichloroethene (ng/mL)",2003-2004,DEMO_C
LBXV2E,"Blood 1,1,2-Trichloroethane Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,1,2-Trichloroethene(ng/mL)","LBXV2E: Blood 1,1,2-Trichloroethene(ng/mL)",2003-2004,DEMO_C
LBXV2P,"Blood 1,2-Dibromo-3-chloropropane result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,2-Dibromo-3-Chloropropane (ng/mL)","LBXV2P: Blood 1,2-Dibromo-3-Chloropropane (ng/mL)",2003-2004,DEMO_C
LBXV2T,"Blood trans-1,2-Dichloroethene Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood trans-1,2-Dichloroethene (ng/mL)","LBXV2T: Blood trans-1,2-Dichloroethene (ng/mL)",2003-2004,DEMO_C
LBXV3B,"Blood 1,3-Dichlorobenzene Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,3-Dichlorobenzene (ng/mL)","LBXV3B: Blood 1,3-Dichlorobenzene (ng/mL)",2003-2004,DEMO_C
LBXV4C,Blood Tetrachloroethene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Tetrachloroethene (ng/mL),LBXV4C: Blood Tetrachloroethene (ng/mL),2003-2004,DEMO_C
LBXV4T,"Blood 1,1,2,2-Tetrachloroethane Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,1,2,2-Tetrachloroethane Result","LBXV4T: Blood 1,1,2,2-Tetrachloroethane Result",2003-2004,DEMO_C
LBXVBF,Blood Bromoform Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Bromoform (ng/mL),LBXVBF: Blood Bromoform (ng/mL),2003-2004,DEMO_C
LBXVBM,Blood Bromodichloromethane Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Bromodichloromethane (ng/mL),LBXVBM: Blood Bromodichloromethane (ng/mL),2003-2004,DEMO_C
LBXVBZ,Blood Benzene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Benzene (ng/mL),LBXVBZ: Blood Benzene (ng/mL),2003-2004,DEMO_C
LBXVCB,Blood Chlorobenzene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Chlorobenzene (ng/mL),LBXVCB: Blood Chlorobenzene (ng/mL),2003-2004,DEMO_C
LBXVCF,Blood Chloroform Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Chloroform (ng/mL),LBXVCF: Blood Chloroform (ng/mL),2003-2004,DEMO_C
LBXVCM,Blood Dibromochloromethane Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Dibromochloromethane (ng/mL),LBXVCM: Blood Dibromochloromethane (ng/mL),2003-2004,DEMO_C
LBXVCT,Blood Carbon Tetrachloride Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Carbon Tetrachloride (ng/mL),LBXVCT: Blood Carbon Tetrachloride (ng/mL),2003-2004,DEMO_C
LBXVDB,"Blood 1,4-Dichlorobenzene Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,4-Dichlorobenzene (ng/mL)","LBXVDB: Blood 1,4-Dichlorobenzene (ng/mL)",2003-2004,DEMO_C
LBXVDM,Blood Dibromomethane Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Dibromomethane (ng/mL),LBXVDM: Blood Dibromomethane (ng/mL),2003-2004,DEMO_C
LBXVDP,"Blood 1,2-Dichloropropane Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,2-Dichloropropane (ng/mL)","LBXVDP: Blood 1,2-Dichloropropane (ng/mL)",2003-2004,DEMO_C
LBXVEB,Blood Ethylbenzene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Ethylbenzene (ng/mL),LBXVEB: Blood Ethylbenzene (ng/mL),2003-2004,DEMO_C
LBXVHE,Blood Hexachloroethane Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Hexachloroethane (ng/mL),LBXVHE: Blood Hexachloroethane (ng/mL),2003-2004,DEMO_C
LBXVMC,Blood Methylene Chloride Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Methylene Chloride (ng/mL),LBXVMC: Blood Methylene Chloride (ng/mL),2003-2004,DEMO_C
LBXVME,Blood Methyl t-Butyl Ether (MTBE) Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Methyl-tert-butyl ether (MTBE) (ng/mL),LBXVME: Blood Methyl-tert-butyl ether (MTBE) (ng/mL),2003-2004,DEMO_C
LBXVNB,Blood Nitrobenzene result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Nitrobenzene (ng/mL),LBXVNB: Blood Nitrobenzene (ng/mL),2003-2004,DEMO_C
LBXVOX,Blood o-Xylene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood o-Xylene (ng/mL),LBXVOX: Blood o-Xylene (ng/mL),2003-2004,DEMO_C
LBXVST,Blood Styrene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Styrene (ng/mL),LBXVST: Blood Styrene (ng/mL),2003-2004,DEMO_C
LBXVTC,Blood Trichloroethene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Trichloroethene (ng/mL),LBXVTC: Blood Trichloroethene (ng/mL),2003-2004,DEMO_C
LBXVTE,"Blood 1,1,1-Trichloroethane Result",L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,"Blood 1,1,1-Trichloroethane (ng/mL)","LBXVTE: Blood 1,1,1-Trichloroethane (ng/mL)",2003-2004,DEMO_C
LBXVTO,Blood Toluene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Toluene (ng/mL),LBXVTO: Blood Toluene (ng/mL),2003-2004,DEMO_C
LBXVTO,Blood Toluene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood Toluene (ng/mL),LBXVTO: Blood Toluene (ng/mL),2003-2004,DEMO_C
LBXVXY,Blood m-/p-Xylene Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Blood m-/p-Xylene (ng/mL),LBXVXY: Blood m-/p-Xylene (ng/mL),2003-2004,DEMO_C
LBXWBF,Water Bromoform Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Water Bromoform (ng/mL),LBXWBF: Water Bromoform (ng/mL),2003-2004,DEMO_C
LBXWBM,Water Bromodichloromethane Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Water Bromodichloromethane (ng/mL),LBXWBM: Water Bromodichloromethane (ng/mL),2003-2004,DEMO_C
LBXWCF,Water Chloroform Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Water Chloroform (ng/mL),LBXWCF: Water Chloroform (ng/mL),2003-2004,DEMO_C
LBXWCM,Water Dibromochloromethane Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Water Dibromochloromethane (ng/mL),LBXWCM: Water Dibromochloromethane (ng/mL),2003-2004,DEMO_C
LBXWME,Water Methyl tert. butyl ether (MTBE) Result,L04VOC_C,"Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items",2003,2004,Laboratory,None,Water Methyl-tert-butyl ether (MTBE) (ng/mL),LBXWME: Water Methyl-tert-butyl ether (MTBE) (ng/mL),2003-2004,DEMO_C
URXUCL,"Chlamydia, urine",L05_C,Chlamydia & Gonorrhea - Urine,2003,2004,Laboratory,None,"Chlamydia, Urine","URXUCL: Chlamydia, Urine",2003-2004,DEMO_C
URXUCL,"Chlamydia, urine",L05_C,Chlamydia & Gonorrhea - Urine,2003,2004,Laboratory,None,"Chlamydia, Urine","URXUCL: Chlamydia, Urine",2003-2004,DEMO_C
URXUGC,Urinary Gonorrhea,L05_C,Chlamydia & Gonorrhea - Urine,2003,2004,Laboratory,None,Urinary Gonorrhea,URXUGC: Urinary Gonorrhea,2003-2004,DEMO_C
URXUGC,Urinary Gonorrhea,L05_C,Chlamydia & Gonorrhea - Urine,2003,2004,Laboratory,None,Urinary Gonorrhea,URXUGC: Urinary Gonorrhea,2003-2004,DEMO_C
LBXACR,Acrylamide (pmoL/G Hb),L06AGE_C,Acrylamide & Glycidamide,2003,2004,Laboratory,None,Acrylamide (pmol/g Hb),LBXACR: Acrylamide (pmol/g Hb),2003-2004,DEMO_C
LBXGLY,Glycidamide (pmoL/G Hb),L06AGE_C,Acrylamide & Glycidamide,2003,2004,Laboratory,None,Glycideamide (pmol/g Hb),LBXGLY: Glycideamide (pmol/g Hb),2003-2004,DEMO_C
LBXBCD,Cadmium (ug/L),L06BMT_C,"Cadmium, Lead, & Total Mercury - Blood",2003,2004,Laboratory,None,Blood cadmium (ug/L),LBXBCD: Blood cadmium (ug/L),2003-2004,DEMO_C
LBXBPB,Lead (ug/dL),L06BMT_C,"Cadmium, Lead, & Total Mercury - Blood",2003,2004,Laboratory,None,Blood lead (ug/dL),LBXBPB: Blood lead (ug/dL),2003-2004,DEMO_C
LBXBPB,Lead (ug/dL),L06BMT_C,"Cadmium, Lead, & Total Mercury - Blood",2003,2004,Laboratory,None,Blood lead (ug/dL),LBXBPB: Blood lead (ug/dL),2003-2004,DEMO_C
LBXIHG,"Mercury, inorganic (ug/L)",L06BMT_C,"Cadmium, Lead, & Total Mercury - Blood",2003,2004,Laboratory,None,"Inorganic mercury, blood (ug/L)","LBXIHG: Inorganic mercury, blood (ug/L)",2003-2004,DEMO_C
LBXTHG,"Mercury, total (ug/L)",L06BMT_C,"Cadmium, Lead, & Total Mercury - Blood",2003,2004,Laboratory,None,"Blood mercury, total (ug/L)","LBXTHG: Blood mercury, total (ug/L)",2003-2004,DEMO_C
LBXHCY,Homocysteine(umol/L),L06MH_C,Methylmalonic acid & Homocysteine,2003,2004,Laboratory,None,Homocysteine (umol/L),LBXHCY: Homocysteine (umol/L),2003-2004,DEMO_C
LBXMMA,Methylmalonic acid (umol/L),L06MH_C,Methylmalonic acid & Homocysteine,2003,2004,Laboratory,None,Methylmalonic acid (umol/L),LBXMMA: Methylmalonic acid (umol/L),2003-2004,DEMO_C
LBXB12,"Vitamin B12, serum (pg/mL)",L06NB_C,"Folate - RBC & Serum, and Vitamin B12",2003,2004,Laboratory,None,Vitamin B12( pg/mL),LBXB12: Vitamin B12( pg/mL),2003-2004,DEMO_C
LBXFOL,"Folate, serum (ng/mL)",L06NB_C,"Folate - RBC & Serum, and Vitamin B12",2003,2004,Laboratory,None,"Folate, serum (ng/mL)","LBXFOL: Folate, serum (ng/mL)",2003-2004,DEMO_C
LBXRBF,"Folate, RBC (ng/mL RBC)",L06NB_C,"Folate - RBC & Serum, and Vitamin B12",2003,2004,Laboratory,None,"Folate, RBC (ng/mL RBC)","LBXRBF: Folate, RBC (ng/mL RBC)",2003-2004,DEMO_C
LBXCOT,Cotinine (ng/mL),L06COT_C,Cotinine - Serum,2003,2004,Laboratory,None,"Cotinine, Serum (ng/mL)","LBXCOT: Cotinine, Serum (ng/mL)",2003-2004,DEMO_C
LBXTFR,Transferrin receptor (mg/L),L06TFR_C,Ferritin & Transferrin Receptor,2003,2004,Laboratory,None,Transferrin receptor (mg/L),LBXTFR: Transferrin receptor (mg/L),2003-2004,DEMO_C
URXUBA,"Barium, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Barium, urine (ug/L)","URXUBA: Barium, urine (ug/L)",2003-2004,DEMO_C
URXUBE,"Beryllium, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Beryllium, urine (ug/L)","URXUBE: Beryllium, urine (ug/L)",2003-2004,DEMO_C
URXUCD,"Cadmium, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Cadmium, urine (ug/L)","URXUCD: Cadmium, urine (ug/L)",2003-2004,DEMO_C
URXUCO,"Cobalt, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Cobalt, urine (ug/L)","URXUCO: Cobalt, urine (ug/L)",2003-2004,DEMO_C
URXUCR,"Creatinine, urine (mg/dL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2003-2004,DEMO_C
URXUCS,"Cesium, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Cesium, urine (ug/L)","URXUCS: Cesium, urine (ug/L)",2003-2004,DEMO_C
URXUMO,"Molybdenum, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Molybdenum, urine (ug/L)","URXUMO: Molybdenum, urine (ug/L)",2003-2004,DEMO_C
URXUPB,"Lead, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Lead, urine (ug/L)","URXUPB: Lead, urine (ug/L)",2003-2004,DEMO_C
URXUPB,"Lead, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Lead, urine (ug/L)","URXUPB: Lead, urine (ug/L)",2003-2004,DEMO_C
URXUPT,"Platinum, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Platinum, urine (ug/L)","URXUPT: Platinum, urine (ug/L)",2003-2004,DEMO_C
URXUSB,"Antimony, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Antimony, urine (ug/L)","URXUSB: Antimony, urine (ug/L)",2003-2004,DEMO_C
URXUTL,"Thallium, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Thallium, urine (ug/L)","URXUTL: Thallium, urine (ug/L)",2003-2004,DEMO_C
URXUTU,"Tungsten, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Tungsten, urine (ug/L)","URXUTU: Tungsten, urine (ug/L)",2003-2004,DEMO_C
URXUUR,"Uranium, urine (ng/mL).",L06HM_C,Metals - Urine,2003,2004,Laboratory,None,"Uranium, urine (ug/L)","URXUUR: Uranium, urine (ug/L)",2003-2004,DEMO_C
URXUCR,"Creatinine, urine (mg/dL)",L06UIO_C,Iodine - Urine,2003,2004,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2003-2004,DEMO_C
URXUIO,"Iodine, urine (ng/mL)",L06UIO_C,Iodine - Urine,2003,2004,Laboratory,None,"Iodine, urine (ug/L)","URXUIO: Iodine, urine (ug/L)",2003-2004,DEMO_C
URXUAB,Urinary Arsenobetaine (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Arsenobetaine (ug/L),URXUAB: Urinary Arsenobetaine (ug/L),2003-2004,DEMO_C
URXUAC,Urinary Arsenocholine (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Arsenocholine (ug/L),URXUAC: Urinary Arsenocholine (ug/L),2003-2004,DEMO_C
URXUAS,Urinary total Arsenic (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,"Arsenic, Total - Urine (ug/L)","URXUAS: Arsenic, Total - Urine (ug/L)",2003-2004,DEMO_C
URXUAS3,Urinary Arsenous acid (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Arsenous acid (ug/L),URXUAS3: Urinary Arsenous acid (ug/L),2003-2004,DEMO_C
URXUAS5,Urinary Arsenic acid (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Arsenic acid (ug/L),URXUAS5: Urinary Arsenic acid (ug/L),2003-2004,DEMO_C
URXUCR,"Creatinine, urine (mg/dL)",L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2003-2004,DEMO_C
URXUDMA,Urinary Dimethylarsinic acid (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Dimethylarsinic acid (ug/L),URXUDMA: Urinary Dimethylarsinic acid (ug/L),2003-2004,DEMO_C
URXUMMA,Urinary Monomethylarsonic acid (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Monomethylarsonic acid (ug/L),URXUMMA: Urinary Monomethylarsonic acid (ug/L),2003-2004,DEMO_C
URXUTM,Urinary Trimethylarsine Oxide (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Trimethylarsine Oxide (ug/L),URXUTM: Urinary Trimethylarsine Oxide (ug/L),2003-2004,DEMO_C
URXUTM,Urinary Trimethylarsine Oxide (ug/L),L06UAS_C,Arsenics - Total & Speciated - Urine,2003,2004,Laboratory,None,Urinary Trimethylarsine Oxide (ug/L),URXUTM: Urinary Trimethylarsine Oxide (ug/L),2003-2004,DEMO_C
URXUCR,"Creatinine, urine (mg/dL)",L06UHG_C,Mercury: Inorganic - Urine,2003,2004,Laboratory,None,"Creatinine, urine (mg/dL)","URXUCR: Creatinine, urine (mg/dL)",2003-2004,DEMO_C
URXUHG,"Mercury, urine (ng/mL)",L06UHG_C,Mercury: Inorganic - Urine,2003,2004,Laboratory,None,Urine Mercury (ug/L),URXUHG: Urine Mercury (ug/L),2003-2004,DEMO_C
LBXGH,Glycohemoglobin (%),L10_C,Glycohemoglobin,2003,2004,Laboratory,None,Glycohemoglobin (%),LBXGH: Glycohemoglobin (%),2003-2004,DEMO_C
LBXCPSI,C-peptide (nmol/L) in SI units,L10AM_C,"Plasma Fasting Glucose, Serum C-peptide & Insulin",2003,2004,Laboratory,None,C-peptide (nmol/L) in SI units,LBXCPSI: C-peptide (nmol/L) in SI units,2003-2004,DEMO_C
LBXGLU,"Glucose, plasma (mg/dL)",L10AM_C,"Plasma Fasting Glucose, Serum C-peptide & Insulin",2003,2004,Laboratory,None,Fasting Glucose (mg/dL),LBXGLU: Fasting Glucose (mg/dL),2003-2004,DEMO_C
